ref_month_yr,Blue Springs PD,Buckner PD,Grain Valley PD,Grandview PD,Greenwood PD,Independence PD,JC Sheriff,JCDTF,KCPD,Lake Lotawana PD,Lake Tapawingo PD,Lee's Summit PD,Lone Jack PD,Oak Grove PD,Raytown PD,Sugar Creek PD
2016-01,25,0,3,17,0,80,21,5,466,0,0,32,0,0,10,3
2016-02,9,0,5,8,0,130,24,8,585,2,0,53,0,5,37,4
2016-03,21,1,7,8,1,75,13,7,547,0,0,46,2,1,16,6
2016-04,27,1,9,14,0,68,14,2,329,1,0,41,0,1,14,3
2016-05,16,2,1,6,2,100,15,1,437,0,0,36,1,2,14,1
2016-06,19,1,2,7,1,93,23,2,323,0,0,38,0,5,0,1
2016-07,15,0,1,2,0,73,6,3,330,0,0,18,0,1,16,1
2016-08,20,1,13,9,3,125,22,4,719,2,0,53,0,2,25,3
2016-09,11,1,10,2,0,69,31,6,449,0,0,41,0,0,11,3
2016-10,18,3,4,4,1,67,16,0,436,0,1,60,0,1,14,3
2016-11,8,0,3,3,2,57,12,0,303,0,0,18,0,1,8,0
2016-12,12,2,2,6,0,52,8,0,297,0,0,29,0,0,14,4
2017-01,25,4,6,1,0,74,17,4,311,0,0,70,0,9,14,2
2017-02,15,2,5,6,0,83,26,3,392,0,0,42,0,11,25,5
2017-03,22,2,14,6,1,71,19,2,329,0,0,46,0,11,12,0
2017-04,28,1,2,8,2,46,16,3,248,0,1,32,0,1,11,2
2017-05,20,5,4,6,2,73,13,1,269,0,0,34,0,2,9,0
2017-06,11,1,1,17,2,51,18,2,318,1,0,22,0,4,9,3
2017-07,28,3,2,6,0,70,24,2,238,0,0,23,0,3,11,4
2017-08,13,0,4,3,0,45,13,0,302,1,0,46,0,5,10,2
2017-09,23,0,2,7,4,68,20,1,227,0,0,51,0,7,1,3
2017-10,11,1,2,11,0,82,16,1,403,0,0,47,0,5,4,1
2017-11,2,2,5,10,0,62,12,0,241,0,0,21,0,2,13,0
2017-12,17,0,13,12,0,55,8,1,249,1,0,48,0,0,8,2
2018-01,24,2,0,7,1,65,11,1,232,1,1,25,0,4,17,5
2018-02,19,3,0,12,0,47,20,1,430,0,0,47,0,0,10,0
2018-03,15,2,10,27,0,83,13,2,330,0,0,51,0,2,10,1
2018-04,25,0,5,7,0,102,24,3,270,0,1,59,2,1,7,2
2018-05,27,0,2,19,0,79,15,1,285,0,0,42,1,2,14,2
2018-06,27,0,8,20,0,38,24,0,392,0,0,43,0,2,16,3
2018-07,26,0,1,6,0,49,15,0,456,0,2,38,0,2,10,1
2018-08,22,0,0,19,2,96,16,1,428,0,0,45,1,3,20,3
2018-09,22,2,0,10,0,35,10,3,375,1,0,38,2,1,5,3
2018-10,37,4,2,19,2,83,11,2,297,0,0,41,0,5,2,5
2018-11,27,0,7,10,1,44,11,1,309,0,0,66,0,10,9,2
2018-12,13,1,1,25,1,79,21,0,371,0,0,61,0,1,12,1
